ncalls, tottime, percall, cumtime, percall, filename:lineno(function)
75024, 0.213, 0.000, 0.939, 0.000, base_layer_utils.py:550(in_keras_graph)
382704, 0.880, 0.000, 0.912, 0.000, base_layer.py:1053(<genexpr>)
10319, 0.035, 0.000, 0.903, 0.000, array_ops.py:632(shape)
5646, 0.081, 0.000, 0.901, 0.000, execute.py:27(quick_execute)
1069650, 0.896, 0.000, 0.896, 0.000, trace.py:83(__enter__)
332052, 0.594, 0.000, 0.896, 0.000, base_layer.py:3299(_expects_mask_arg)
39028, 0.670, 0.000, 0.895, 0.000, encoder.py:204(iterencode)
995057, 0.886, 0.000, 0.886, 0.000, resource_variable_ops.py:527(dtype)
121916, 0.447, 0.000, 0.878, 0.000, ag_ctx.py:76(__exit__)
10319, 0.150, 0.000, 0.868, 0.000, array_ops.py:659(shape_internal)
10329, 0.154, 0.000, 0.857, 0.000, gen_math_ops.py:2200(cast)
126708, 0.581, 0.000, 0.823, 0.000, tf_decorator.py:193(unwrap)
528188, 0.766, 0.000, 0.807, 0.000, tensor_shape.py:1439(as_shape)
5646, 0.783, 0.000, 0.783, 0.000, {built-in, method tensorflow.python._pywrap_tfe.TFE_Py_Execute}
493300, 0.677, 0.000, 0.776, 0.000, ag_ctx.py:28(_control_ctx)
266376, 0.604, 0.000, 0.773, 0.000, base_layer_utils.py:457(call_context)
388332, 0.665, 0.000, 0.760, 0.000, base_layer.py:3643(<genexpr>)
239139, 0.242, 0.000, 0.742, 0.000, resource_variable_ops.py:2447(is_resource_variable)
191352, 0.726, 0.000, 0.726, 0.000, layer_utils.py:797(split_out_first_arg)
3363534/3173156, 0.514, 0.000, 0.700, 0.000, {built-in, method builtins.len}
187565, 0.415, 0.000, 0.698, 0.000, context.py:958(zeros_cache)
505553, 0.698, 0.000, 0.698, 0.000, distribution_strategy_context.py:397(_get_default_replica_mode)
643391, 0.694, 0.000, 0.694, 0.000, resource_variable_ops.py:618(trainable)
191352, 0.689, 0.000, 0.689, 0.000, base_layer_utils.py:570(__enter__)
271151, 0.655, 0.000, 0.680, 0.000, ops.py:6956(__init__)
191352, 0.677, 0.000, 0.677, 0.000, base_layer_utils.py:587(__exit__)
346418, 0.672, 0.000, 0.672, 0.000, context.py:972(device_name)
5680, 0.023, 0.000, 0.640, 0.000, constant_op.py:340(_constant_tensor_conversion_function)
4692, 0.426, 0.000, 0.640, 0.000, inspect.py:2152(_signature_from_function)
88164, 0.455, 0.000, 0.637, 0.000, __init__.py:437(_make)
4689, 0.405, 0.000, 0.628, 0.000, optimizer.py:147(_deduplicate_sparse_grad)
9378, 0.611, 0.000, 0.627, 0.000, utils.py:60(filter_empty_gradients)
9757, 0.119, 0.000, 0.624, 0.000, session.py:646(msg)
5628, 0.083, 0.000, 0.623, 0.000, nn_ops.py:4249(_sparse_softmax_cross_entropy_with_rank_2_logits)
5635, 0.107, 0.000, 0.605, 0.000, nest.py:135(pack_sequence_as)
5628, 0.034, 0.000, 0.579, 0.000, math_ops.py:267(argmax_v2)
191352, 0.351, 0.000, 0.568, 0.000, base_layer.py:3294(_expects_training_arg)
45024, 0.325, 0.000, 0.557, 0.000, control_flow_ops.py:3719(get_enclosing_xla_context)
207273, 0.471, 0.000, 0.552, 0.000, {built-in, method tensorflow.python._pywrap_tfe.TFE_Py_TapeVariableAccessed}
9757, 0.153, 0.000, 0.551, 0.000, session.py:672(sign)
5628, 0.089, 0.000, 0.545, 0.000, gen_math_ops.py:845(arg_max)
275858, 0.538, 0.000, 0.538, 0.000, context.py:962(scope_name)
524388, 0.511, 0.000, 0.511, 0.000, tensor_shape.py:1338(<genexpr>)
9721/9700, 0.181, 0.000, 0.508, 0.000, widget.py:492(get_state)
5628, 0.115, 0.000, 0.499, 0.000, gen_nn_ops.py:12126(sparse_softmax_cross_entropy_with_logits)
10317, 0.146, 0.000, 0.498, 0.000, gen_array_ops.py:11634(shape)
196051, 0.355, 0.000, 0.498, 0.000, inspect.py:1548(currentframe)
286617, 0.498, 0.000, 0.498, 0.000, {built-in, method _codecs.lookup}
175802, 0.488, 0.000, 0.488, 0.000, context.py:558(ensure_initialized)
191352, 0.485, 0.000, 0.485, 0.000, autocast_variable.py:565(__init__)
50652, 0.115, 0.000, 0.479, 0.000, base_layer.py:2878(<listcomp>)
4690, 0.039, 0.000, 0.477, 0.000, deprecation.py:527(new_func)
202641, 0.280, 0.000, 0.476, 0.000, nest.py:147(is_namedtuple)
127552, 0.274, 0.000, 0.468, 0.000, ag_ctx.py:34(control_status_ctx)
191352, 0.411, 0.000, 0.464, 0.000, autocast_variable.py:570(__enter__)
191352, 0.460, 0.000, 0.460, 0.000, autocast_variable.py:574(__exit__)
121916, 0.261, 0.000, 0.458, 0.000, ag_ctx.py:68(__enter__)
380750, 0.425, 0.000, 0.457, 0.000, data_structures.py:441(__len__)
11268, 0.107, 0.000, 0.453, 0.000, context.py:2439(execution_mode)
101304, 0.149, 0.000, 0.443, 0.000, base_layer.py:2839(<genexpr>)
6, 0.000, 0.000, 0.443, 0.074, dataset_ops.py:486(__iter__)
381856, 0.442, 0.000, 0.442, 0.000, {method, '_shape_tuple' of 'tensorflow.python.framework.ops.EagerTensor' objects}
6, 0.000, 0.000, 0.442, 0.074, iterator_ops.py:665(__init__)
6, 0.000, 0.000, 0.442, 0.074, iterator_ops.py:707(_create_iterator)
6, 0.000, 0.000, 0.437, 0.073, gen_dataset_ops.py:3420(make_iterator)
191352, 0.435, 0.000, 0.435, 0.000, base_layer_utils.py:565(__init__)
382672, 0.430, 0.000, 0.430, 0.000, data_structures.py:435(__getitem__)
75024, 0.223, 0.000, 0.428, 0.000, backend.py:1058(name_scope)
455840, 0.426, 0.000, 0.426, 0.000, distribute_lib.py:846(extended)
117225, 0.263, 0.000, 0.419, 0.000, distribute_lib.py:259(__enter__)
117225, 0.378, 0.000, 0.418, 0.000, optimizer.py:313(learning_rate)
4689, 0.052, 0.000, 0.414, 0.000, backprop.py:702(_ones)
4689, 0.094, 0.000, 0.411, 0.000, math_grad.py:1348(_MulGrad)
9757, 0.061, 0.000, 0.404, 0.000, session.py:643(msg_header)
14858/14840, 0.122, 0.000, 0.395, 0.000, traitlets.py:731(_validate)
4689, 0.263, 0.000, 0.388, 0.000, math_ops.py:4500(reduced_shape)
75072, 0.278, 0.000, 0.371, 0.000, _collections_abc.py:980(__iter__)
4689, 0.025, 0.000, 0.371, 0.000, array_ops.py:302(expand_dims)
39618, 0.182, 0.000, 0.366, 0.000, tensor_shape.py:885(__getitem__)
192249, 0.363, 0.000, 0.363, 0.000, compat.py:37(_date_to_date_number)
90048, 0.322, 0.000, 0.359, 0.000, control_flow_util.py:113(constant_value)
45024, 0.183, 0.000, 0.359, 0.000, layer_utils.py:581(wrapped)
382735, 0.356, 0.000, 0.356, 0.000, base_layer.py:1178(name)
192249, 0.273, 0.000, 0.345, 0.000, context.py:137(get)
45024, 0.204, 0.000, 0.343, 0.000, backend.py:407(_internal_get_learning_phase)
117225, 0.339, 0.000, 0.339, 0.000, distribute_lib.py:263(__exit__)
4689, 0.133, 0.000, 0.334, 0.000, distribute_lib.py:3255(<listcomp>)
6, 0.000, 0.000, 0.334, 0.056, profiler.py:135(save)
191352, 0.305, 0.000, 0.331, 0.000, contextlib.py:470(_push_exit_callback)
75024, 0.257, 0.000, 0.329, 0.000, base_layer_utils.py:543(frozen)
82536, 0.314, 0.000, 0.314, 0.000, batch_normalization.py:611(_maybe_add_or_remove_bessels_correction)
171627, 0.311, 0.000, 0.311, 0.000, distribution_strategy_context.py:366(_get_default_strategy)
22512, 0.164, 0.000, 0.310, 0.000, numeric.py:1873(isscalar)
45024, 0.254, 0.000, 0.309, 0.000, batch_normalization.py:809(_get_training_value)
368832, 0.308, 0.000, 0.308, 0.000, {built-in, method tensorflow.python._pywrap_tfe.TFE_Py_TapeSetIsStopped}
25349, 0.091, 0.000, 0.305, 0.000, ops.py:1131(numpy)
4698, 0.076, 0.000, 0.302, 0.000, std.py:1460(format_dict)
332052, 0.302, 0.000, 0.302, 0.000, layer_utils.py:684(expects_mask_arg)
9378, 0.193, 0.000, 0.300, 0.000, math_grad.py:1279(_AddGrad)
45040, 0.071, 0.000, 0.294, 0.000, ops.py:1265(get_shape)
243858, 0.260, 0.000, 0.289, 0.000, inspect.py:81(ismethod)
90056, 0.254, 0.000, 0.287, 0.000, weakref.py:452(get)
187565, 0.283, 0.000, 0.283, 0.000, context.py:218(zeros_cache)
4689, 0.060, 0.000, 0.282, 0.000, custom_gradient.py:45(custom_gradient)
9378, 0.033, 0.000, 0.280, 0.000, merge_call_interim.py:20(strategy_supports_no_merge_call)
6, 0.278, 0.046, 0.280, 0.047, file_io.py:98(write)
191352, 0.280, 0.000, 0.280, 0.000, contextlib.py:408(__init__)
1261024, 0.268, 0.000, 0.268, 0.000, {method, '_datatype_enum' of 'tensorflow.python.framework.ops.EagerTensor' objects}
2768679, 0.268, 0.000, 0.268, 0.000, {method, 'append' of 'list' objects}
117225, 0.267, 0.000, 0.267, 0.000, distribute_lib.py:2123(_container_strategy)
39028, 0.266, 0.000, 0.266, 0.000, encoder.py:104(__init__)
1, 0.000, 0.000, 0.263, 0.263, dataset_ops.py:2137(map)
1, 0.000, 0.000, 0.263, 0.263, dataset_ops.py:5528(__init__)
117226, 0.150, 0.000, 0.263, 0.000, {method, 'sort' of 'list' objects}
1, 0.000, 0.000, 0.260, 0.260, structured_function.py:80(__init__)
1, 0.000, 0.000, 0.258, 0.258, tracing_compiler.py:217(get_concrete_function)
1, 0.000, 0.000, 0.258, 0.258, tracing_compiler.py:176(_get_concrete_function_garbage_collected)
1, 0.000, 0.000, 0.258, 0.258, tracing_compiler.py:151(_maybe_define_concrete_function)
1, 0.000, 0.000, 0.258, 0.258, tracing_compiler.py:303(_maybe_define_function)
1, 0.000, 0.000, 0.256, 0.256, tracing_compiler.py:269(_create_concrete_function)
3/1, 0.001, 0.000, 0.254, 0.254, func_graph.py:1102(func_graph_from_py_func)
4689, 0.023, 0.000, 0.254, 0.000, array_ops.py:375(expand_dims_v2)
253206, 0.251, 0.000, 0.251, 0.000, resource_variable_ops.py:470(_assign_dependencies)
9688, 0.083, 0.000, 0.251, 0.000, widget.py:644(_should_send_property)
191352, 0.250, 0.000, 0.250, 0.000, contextlib.py:398(_create_exit_wrapper)
5635, 0.112, 0.000, 0.242, 0.000, nest.py:104(_packed_nest_with_indices)
1, 0.000, 0.000, 0.232, 0.232, structured_function.py:234(wrapped_fn)
1, 0.000, 0.000, 0.232, 0.232, structured_function.py:165(wrapper_helper)
1, 0.000, 0.000, 0.231, 0.231, api.py:681(wrapper)
3/1, 0.000, 0.000, 0.231, 0.231, api.py:295(converted_call)
4689, 0.070, 0.000, 0.231, 0.000, gen_array_ops.py:2735(expand_dims)
45024, 0.165, 0.000, 0.230, 0.000, base_layer.py:2197(compute_dtype)
158812, 0.229, 0.000, 0.229, 0.000, context.py:908(_handle)
4689, 0.027, 0.000, 0.228, 0.000, <__array_function__, internals>:177(array_equal)
117225, 0.227, 0.000, 0.227, 0.000, distribute_lib.py:3698(_reduce_to)
4689, 0.071, 0.000, 0.227, 0.000, gen_array_ops.py:14666(tile)
19514, 0.076, 0.000, 0.225, 0.000, jsonutil.py:108(json_default)
368593, 0.225, 0.000, 0.225, 0.000, {built-in, method tensorflow.python._pywrap_tfe.TFE_Py_TapeSetStopOnThread}
207273, 0.225, 0.000, 0.225, 0.000, {built-in, method tensorflow.python._pywrap_tfe.TFE_Py_VariableWatcherVariableAccessed}
45024, 0.224, 0.000, 0.224, 0.000, weakref.py:455(__contains__)
14105, 0.059, 0.000, 0.223, 0.000, tensor_util.py:808(constant_value)
123887, 0.218, 0.000, 0.218, 0.000, tensor_shape.py:1349(as_list)
191352, 0.217, 0.000, 0.217, 0.000, layer_utils.py:675(expects_training_arg)
234475, 0.216, 0.000, 0.216, 0.000, optimizer.py:140(_var_key)
368593, 0.215, 0.000, 0.215, 0.000, {built-in, method tensorflow.python._pywrap_tfe.TFE_Py_TapeSetRestartOnThread}
126708, 0.197, 0.000, 0.212, 0.000, tf_decorator.py:107(_has_tf_decorator_attr)
225120, 0.212, 0.000, 0.212, 0.000, nn_ops.py:1286(<genexpr>)
191352, 0.210, 0.000, 0.210, 0.000, base_layer_utils.py:535(training)
191383, 0.207, 0.000, 0.207, 0.000, base_layer.py:1236(input_spec)
117339, 0.188, 0.000, 0.205, 0.000, ops.py:3333(_variable_creator_stack)
5628, 0.023, 0.000, 0.204, 0.000, resource_variable_ops.py:560(_shape_tuple)
1522928, 0.204, 0.000, 0.204, 0.000, {method, 'pop' of 'dict' objects}
131313, 0.193, 0.000, 0.203, 0.000, inspect.py:159(isfunction)
202650, 0.203, 0.000, 0.203, 0.000, {built-in, method tensorflow.python.util._pywrap_utils.IsMutableMapping}
121915, 0.203, 0.000, 0.203, 0.000, ag_ctx.py:64(__init__)
117225, 0.193, 0.000, 0.202, 0.000, distribute_lib.py:3557(_batch_reduce_destination)
95676, 0.202, 0.000, 0.202, 0.000, layer_utils.py:698(arg_was_passed)
14427, 0.084, 0.000, 0.201, 0.000, traitlets.py:740(_cross_validate)
4704/4701, 0.015, 0.000, 0.197, 0.000, {built-in, method numpy.core._multiarray_umath.implement_array_function}
202641, 0.196, 0.000, 0.196, 0.000, {built-in, method tensorflow.python.util._pywrap_utils.IsNamedtuple}
207273, 0.195, 0.000, 0.195, 0.000, distribute_lib.py:3728(value_container)
4698, 0.046, 0.000, 0.191, 0.000, notebook.py:201(colour)
20159, 0.125, 0.000, 0.190, 0.000, traitlets.py:1913(trait_metadata)
930305, 0.189, 0.000, 0.189, 0.000, {built-in, method builtins.callable}
31, 0.001, 0.000, 0.188, 0.006, base_layer.py:2953(_maybe_build)
117225, 0.184, 0.000, 0.184, 0.000, distribute_lib.py:255(__init__)
5628, 0.042, 0.000, 0.182, 0.000, resource_variable_ops.py:555(_shape_as_list)
4689, 0.082, 0.000, 0.181, 0.000, numeric.py:2402(array_equal)
9961, 0.041, 0.000, 0.179, 0.000, traitlets.py:1511(notify_change)
398106, 0.177, 0.000, 0.177, 0.000, {method, 'pop' of 'list' objects}
45042, 0.171, 0.000, 0.176, 0.000, smart_cond.py:60(smart_constant_value)
191352, 0.176, 0.000, 0.176, 0.000, {built-in, method sys.exc_info}
25352, 0.056, 0.000, 0.171, 0.000, ops.py:1119(_numpy)
3, 0.000, 0.000, 0.170, 0.057, __init__.py:20(tqdm_notebook)
9721, 0.045, 0.000, 0.169, 0.000, widget.py:118(_remove_buffers)
202643, 0.169, 0.000, 0.169, 0.000, {built-in, method tensorflow.python.util._pywrap_utils.IsCompositeTensor}
191352, 0.165, 0.000, 0.165, 0.000, contextlib.py:486(__enter__)
3, 0.000, 0.000, 0.164, 0.055, notebook.py:211(__init__)
190375, 0.162, 0.000, 0.162, 0.000, data_structures.py:391(_values)
18829, 0.046, 0.000, 0.161, 0.000, tensor_util.py:1086(maybe_set_static_shape)
1052920, 0.160, 0.000, 0.161, 0.000, {built-in, method builtins.setattr}
157560, 0.161, 0.000, 0.161, 0.000, batch_normalization.py:290(trainable)
1800053, 0.160, 0.000, 0.160, 0.000, {built-in, method builtins.id}
1, 0.000, 0.000, 0.160, 0.160, api.py:260(_convert_actual)
1, 0.000, 0.000, 0.160, 0.160, transpiler.py:266(transform)
1, 0.000, 0.000, 0.159, 0.159, transpiler.py:432(transform_function)
121918, 0.138, 0.000, 0.158, 0.000, api.py:291(is_autograph_artifact)
202642, 0.158, 0.000, 0.158, 0.000, {built-in, method tensorflow.python.util._pywrap_utils.IsTypeSpec}
117225, 0.156, 0.000, 0.156, 0.000, distribute_lib.py:242(get_update_replica_id)
117225, 0.155, 0.000, 0.155, 0.000, distribution_strategy_context.py:385(_get_default_replica_context)
1232595, 0.154, 0.000, 0.155, 0.000, {method, 'add' of 'set' objects}
476045, 0.151, 0.000, 0.151, 0.000, {method, 'get' of 'dict' objects}
66, 0.001, 0.000, 0.150, 0.002, resource_variable_ops.py:1605(__init__)
103104, 0.150, 0.000, 0.150, 0.000, {built-in, method __new__ of type object at 0x00007FFFD932DC60}
41, 0.004, 0.000, 0.149, 0.004, base_layer.py:551(add_weight)
66, 0.016, 0.000, 0.149, 0.002, resource_variable_ops.py:1749(_init_from_args)
202641, 0.147, 0.000, 0.147, 0.000, {built-in, method tensorflow.python.util._pywrap_utils.IsMappingView}
41, 0.001, 0.000, 0.144, 0.004, base.py:438(_add_variable_with_custom_getter)
3, 0.000, 0.000, 0.143, 0.048, notebook.py:104(status_printer)
10263, 0.132, 0.000, 0.143, 0.000, traitlets.py:1515(_notify_observers)
208276, 0.141, 0.000, 0.141, 0.000, {built-in, method tensorflow.python.util._pywrap_utils.IsAttrs}
33/12, 0.000, 0.000, 0.141, 0.012, widget.py:409(__init__)
202641, 0.141, 0.000, 0.141, 0.000, {built-in, method tensorflow.python.util._pywrap_utils.IsMapping}
121931, 0.139, 0.000, 0.139, 0.000, flags.py:25(config)
33/12, 0.001, 0.000, 0.139, 0.012, widget.py:425(open)
41, 0.001, 0.000, 0.135, 0.003, base_layer_utils.py:44(make_variable)
11268, 0.053, 0.000, 0.132, 0.000, context.py:1056(executor)
41, 0.001, 0.000, 0.131, 0.003, variables.py:186(_variable_v1_call)
41, 0.000, 0.000, 0.130, 0.003, variables.py:203(<lambda>)
41, 0.002, 0.000, 0.130, 0.003, variable_scope.py:2680(default_variable_creator)
117225, 0.129, 0.000, 0.129, 0.000, resource_variable_ops.py:603(constraint)
9757, 0.056, 0.000, 0.126, 0.000, session.py:599(msg_id)
45044, 0.061, 0.000, 0.126, 0.000, tensor_shape.py:857(ndims)
9736/9721, 0.115, 0.000, 0.124, 0.000, widget.py:73(_separate_buffers)
4768, 0.024, 0.000, 0.122, 0.000, traitlets.py:1226(__call__)
2183/41, 0.008, 0.000, 0.122, 0.003, ast.py:403(visit)
1, 0.000, 0.000, 0.121, 0.121, transpiler.py:324(transform_function)
16905, 0.086, 0.000, 0.121, 0.000, nest.py:49(_yield_value)
4689, 0.024, 0.000, 0.120, 0.000, backprop.py:169(record_gradient)
4705, 0.073, 0.000, 0.119, 0.000, inspect.py:2498(__init__)
25352, 0.115, 0.000, 0.115, 0.000, {method, '_numpy_internal' of 'tensorflow.python.framework.ops.EagerTensor' objects}
45024, 0.114, 0.000, 0.114, 0.000, backend.py:359(global_learning_phase_is_set)
117225, 0.114, 0.000, 0.114, 0.000, distribute_lib.py:3725(_local_results)
9798, 0.061, 0.000, 0.113, 0.000, threading.py:1133(is_alive)
117225, 0.112, 0.000, 0.112, 0.000, ops.py:3247(<lambda>)
5640, 0.026, 0.000, 0.111, 0.000, array_ops.py:1576(_autopacking_conversion_function)
112560, 0.108, 0.000, 0.108, 0.000, nn_ops.py:4894(<genexpr>)
22512, 0.105, 0.000, 0.108, 0.000, nn_ops.py:1935(convert_padding)
28149, 0.108, 0.000, 0.108, 0.000, std.py:233(__call__)
9757, 0.060, 0.000, 0.108, 0.000, hmac.py:115(copy)
19514, 0.097, 0.000, 0.107, 0.000, {method, 'isoformat' of 'datetime.datetime' objects}
117225, 0.106, 0.000, 0.106, 0.000, resource_variable_ops.py:2368(_ReadGrad)
4689, 0.016, 0.000, 0.104, 0.000, backprop.py:868(__enter__)
9378, 0.073, 0.000, 0.103, 0.000, math_grad.py:1269(_ShapesFullySpecifiedAndEqual)
101304, 0.102, 0.000, 0.102, 0.000, base_layer.py:2879(<genexpr>)
1, 0.000, 0.000, 0.102, 0.102, api.py:235(transform_ast)
302/116, 0.003, 0.000, 0.102, 0.001, traitlets.py:1856(trait_defaults)
9757, 0.042, 0.000, 0.099, 0.000, session.py:273(msg_header)
235/91, 0.001, 0.000, 0.097, 0.001, traitlets.py:613(default)
21, 0.000, 0.000, 0.096, 0.005, trait_types.py:167(make_dynamic_default)
14067, 0.073, 0.000, 0.096, 0.000, math_ops.py:4441(conj)
4689, 0.017, 0.000, 0.096, 0.000, {method, 'all' of 'numpy.ndarray' objects}
4689, 0.028, 0.000, 0.096, 0.000, sgd.py:132(build)
5628, 0.020, 0.000, 0.094, 0.000, execute.py:273(<listcomp>)
1485/49, 0.024, 0.000, 0.094, 0.002, ast.py:477(generic_visit)
9757, 0.030, 0.000, 0.092, 0.000, hmac.py:147(hexdigest)
5634, 0.031, 0.000, 0.091, 0.000, executor.py:72(new_executor)
199111, 0.091, 0.000, 0.091, 0.000, {method, 'encode' of 'str' objects}
8, 0.001, 0.000, 0.090, 0.011, batch_normalization.py:322(build)
11274, 0.034, 0.000, 0.089, 0.000, executor.py:44(__del__)
4689, 0.035, 0.000, 0.088, 0.000, backprop.py:878(_push_tape)
9754, 0.022, 0.000, 0.087, 0.000, kernelbase.py:617(get_parent)
4696, 0.065, 0.000, 0.087, 0.000, inspect.py:2781(__init__)
21574, 0.055, 0.000, 0.086, 0.000, math_ops.py:2161(_may_reduce_to_scalar)
8, 0.000, 0.000, 0.086, 0.011, base_conv.py:200(build)
15946, 0.085, 0.000, 0.085, 0.000, {built-in, method numpy.arange}
50652, 0.085, 0.000, 0.085, 0.000, base_layer.py:963(compute_mask)
4695, 0.023, 0.000, 0.085, 0.000, widget_float.py:33(_validate_value)
5640, 0.022, 0.000, 0.085, 0.000, array_ops.py:1566(_should_not_autopack)
992/22, 0.020, 0.000, 0.084, 0.004, transformer.py:417(visit)
33, 0.000, 0.000, 0.084, 0.003, comm.py:71(__init__)
9390, 0.053, 0.000, 0.083, 0.000, std.py:288(format_interval)
22548, 0.031, 0.000, 0.082, 0.000, executor.py:63(wait)
9528, 0.048, 0.000, 0.081, 0.000, enum.py:358(__call__)
4689, 0.013, 0.000, 0.079, 0.000, _methods.py:60(_all)
9787, 0.063, 0.000, 0.078, 0.000, traitlets.py:1882(traits)
19511, 0.077, 0.000, 0.077, 0.000, jsonutil.py:77(json_clean)
196056, 0.076, 0.000, 0.076, 0.000, {built-in, method sys._getframe}
909052, 0.076, 0.000, 0.076, 0.000, {method, 'popleft' of 'collections.deque' objects}
56330, 0.075, 0.000, 0.075, 0.000, resource_variable_ops.py:547(shape)
5628, 0.008, 0.000, 0.074, 0.000, ops.py:7171(_is_keras_symbolic_tensor)
6, 0.000, 0.000, 0.074, 0.012, widget_string.py:29(__init__)
39028, 0.049, 0.000, 0.072, 0.000, hmac.py:111(update)
4695, 0.023, 0.000, 0.071, 0.000, re.py:223(split)
4707, 0.024, 0.000, 0.071, 0.000, ops.py:6348(get_name_scope)
4689, 0.013, 0.000, 0.071, 0.000, distribute_lib.py:330(require_replica_context)
191352, 0.070, 0.000, 0.070, 0.000, {method, 'pop' of 'collections.deque' objects}
1, 0.000, 0.000, 0.070, 0.070, __autograph_generated_file6jojo59y.py:5(<lambda>)
1, 0.000, 0.000, 0.070, 0.070, function_wrappers.py:110(with_function_scope)
45069, 0.069, 0.000, 0.069, 0.000, ops.py:3461(_get_control_flow_context)
2, 0.000, 0.000, 0.068, 0.034, api.py:449(_call_unconverted)
5640, 0.033, 0.000, 0.068, 0.000, context.py:1050(executor)
4698, 0.067, 0.000, 0.067, 0.000, {method, 'reduce' of 'numpy.ufunc' objects}
66, 0.002, 0.000, 0.066, 0.001, base_comm.py:24(__init__)
11, 0.005, 0.000, 0.065, 0.006, random_ops.py:212(random_uniform)
45064, 0.064, 0.000, 0.064, 0.000, policy.py:274(compute_dtype)
32889, 0.063, 0.000, 0.063, 0.000, {method, 'format' of 'str' objects}
65646, 0.062, 0.000, 0.062, 0.000, base_layer.py:1206(trainable)
223276, 0.059, 0.000, 0.060, 0.000, {built-in, method builtins.issubclass}
22512, 0.058, 0.000, 0.058, 0.000, conv_utils.py:25(convert_data_format)
9757, 0.048, 0.000, 0.058, 0.000, session.py:846(<listcomp>)
27201, 0.057, 0.000, 0.057, 0.000, deprecation.py:638(deprecated_argument_lookup)
2, 0.000, 0.000, 0.056, 0.028, dataset_ops.py:737(from_tensor_slices)
2, 0.000, 0.000, 0.056, 0.028, from_tensor_slices_op.py:24(from_tensor_slices)
2, 0.000, 0.000, 0.056, 0.028, from_tensor_slices_op.py:31(__init__)
4689, 0.055, 0.000, 0.055, 0.000, utils.py:36(<listcomp>)
9, 0.000, 0.000, 0.055, 0.006, 1795491062.py:3(init_kaiming_he)
4698, 0.032, 0.000, 0.054, 0.000, std.py:104(acquire)
2, 0.000, 0.000, 0.054, 0.027, structure.py:67(normalize_element)
9757, 0.024, 0.000, 0.054, 0.000, session.py:201(utcnow)
5634, 0.054, 0.000, 0.054, 0.000, {built-in, method tensorflow.python._pywrap_tfe.TFE_NewExecutor}
4689, 0.026, 0.000, 0.053, 0.000, tape.py:43(push_new_tape)
33, 0.001, 0.000, 0.052, 0.002, configurable.py:51(__init__)
45024, 0.052, 0.000, 0.052, 0.000, layer_utils.py:649(full_argspec)
11301, 0.051, 0.000, 0.051, 0.000, {built-in, method tensorflow.python.util._pywrap_utils.FlattenForData}
9757, 0.029, 0.000, 0.051, 0.000, hmac.py:128(_current)
22548, 0.051, 0.000, 0.051, 0.000, {built-in, method tensorflow.python._pywrap_tfe.TFE_ExecutorWaitForAllPendingNodes}
9390, 0.042, 0.000, 0.050, 0.000, __init__.py:12(escape)
540/11, 0.003, 0.000, 0.050, 0.005, converter.py:306(visit)
29271, 0.049, 0.000, 0.049, 0.000, {method, 'copy' of '_hashlib.HASH' objects}
28134, 0.041, 0.000, 0.049, 0.000, backprop.py:646(<genexpr>)
5629, 0.036, 0.000, 0.048, 0.000, structure.py:214(<listcomp>)
66, 0.001, 0.000, 0.048, 0.001, base_comm.py:69(open)
25, 0.000, 0.000, 0.047, 0.002, optimizer.py:1067(add_variable_from_reference)
50652, 0.047, 0.000, 0.047, 0.000, activations.py:467(linear)
4689, 0.013, 0.000, 0.045, 0.000, distribution_strategy_context.py:57(_push_per_thread_mode)
25, 0.001, 0.000, 0.044, 0.002, optimizer.py:455(add_variable_from_reference)
21, 0.002, 0.000, 0.043, 0.002, op_def_library.py:751(_apply_op_helper)
6, 0.000, 0.000, 0.043, 0.007, file_io.py:197(__exit__)
6, 0.043, 0.007, 0.043, 0.007, file_io.py:223(close)
9798, 0.036, 0.000, 0.043, 0.000, threading.py:1066(_wait_for_tstate_lock)
4690, 0.014, 0.000, 0.042, 0.000, context.py:2761(_tmp_in_graph_mode)
78, 0.004, 0.000, 0.042, 0.001, traitlets.py:1325(__init__)
141099, 0.042, 0.000, 0.042, 0.000, {method, 'update' of 'dict' objects}
5640, 0.013, 0.000, 0.041, 0.000, config.py:1092(is_op_determinism_enabled)
4710, 0.024, 0.000, 0.041, 0.000, traitlets.py:2432(validate)
3, 0.000, 0.000, 0.040, 0.013, widget_float.py:23(__init__)
22654, 0.037, 0.000, 0.039, 0.000, tensor_shape.py:862(__len__)
14067, 0.039, 0.000, 0.039, 0.000, {method, 'copy' of 'numpy.ndarray' objects}
4689, 0.013, 0.000, 0.039, 0.000, distribution_strategy_context.py:61(_pop_per_thread_mode)
107752, 0.038, 0.000, 0.038, 0.000, {method, 'items' of 'dict' objects}
11268, 0.038, 0.000, 0.038, 0.000, {built-in, method tensorflow.python._pywrap_tfe.TFE_ContextSetExecutorForThread}
1, 0.000, 0.000, 0.038, 0.038, transpiler.py:163(create)
4689, 0.016, 0.000, 0.037, 0.000, tape.py:39(watched_variables)
1, 0.000, 0.000, 0.037, 0.037, image_ops_impl.py:375(random_flip_left_right)
1, 0.000, 0.000, 0.037, 0.037, image_ops_impl.py:485(_random_flip)
4689, 0.019, 0.000, 0.037, 0.000, backprop.py:891(_pop_tape)
28357, 0.036, 0.000, 0.036, 0.000, tensor_shape.py:807(_v2_behavior)
45024, 0.035, 0.000, 0.035, 0.000, device_context.py:17(enclosing_tpu_context)
